30720, 3, 0
31104, 3, 1
31104, 1, 0
31104, 1, 1
31872, 3, 1
31872, 1, 0
31872, 1, 1
32640, 1, 1
32640, 2, 0
32640, 2, 1
33408, 3, 0
33408, 3, 1
33408, 1, 0
33408, 1, 1
34176, 1, 0
34176, 1, 1
34176, 2, 0
34944, 2, 0
34944, 2, 1
34944, 3, 0
35712, 2, 0
35712, 2, 1
35712, 3, 0
36480, 2, 0
36480, 2, 1
36480, 3, 0
37248, 1, 1
37248, 2, 0
37248, 2, 1
38016, 1, 1
38016, 2, 0
38016, 2, 1
38016, 3, 0
38784, 3, 0
38784, 3, 1
38784, 1, 0
39552, 1, 1
39552, 2, 0
39552, 2, 1
40320, 1, 1
40320, 2, 0
40320, 2, 1
41088, 2, 1
41088, 3, 0
41088, 3, 1
41856, 1, 1
41856, 2, 0
41856, 2, 1
42624, 3, 0
42624, 3, 1
42624, 1, 0
43392, 1, 1
43392, 2, 0
43392, 2, 1
44160, 1, 1
44160, 2, 0
44160, 2, 1
44928, 1, 1
44928, 2, 0
44928, 2, 1
44928, 3, 0
45696, 3, 0
45696, 3, 1
45696, 1, 0
46464, 2, 0
46464, 2, 1
46464, 3, 0
47232, 3, 0
47232, 3, 1
47232, 1, 0
