3840,0,0,2
4032,2,0,0
4512,1,0,0
4704,0,2,0
4896,1,0,0
5088,0,1,0
5280,0,0,2
6144,0,2,1
6336,2,0,0
6624,2,0,0
6912,0,2,2
7104,1,2,0
7248,1,0,2
7488,1,0,0
7680,1,0,0
7872,0,0,1
8064,0,2,0
8256,0,2,0
8448,0,0,2
8640,1,0,0
8832,0,1,0
9024,0,0,1
9312,0,1,0
9504,0,0,1
9792,0,0,1
9984,0,0,1
10176,0,0,1
10368,0,0,1
10560,2,0,0
10752,2,0,1
11328,0,0,1
11520,0,0,2
19200,1,2,0
19776,2,0,0
19968,1,2,1
20352,0,0,2
20544,0,0,2
20736,1,2,0
20928,1,0,0
21120,2,0,0
21312,0,2,0
21504,1,1,2
22080,0,0,2
22272,2,1,0
22656,1,0,2
23040,1,1,0
23424,2,0,1
23808,2,0,2
24192,1,1,2
24384,2,0,1
24576,1,0,2
24768,1,2,0
32640,1,0,2
33216,1,2,0
33408,1,0,1
33600,1,0,0
33792,1,2,2
33984,2,0,1
34176,1,1,0
34560,0,2,0
34752,0,1,0
34944,0,2,1
35328,2,0,1
35520,2,1,0
35712,2,0,2
35904,1,0,2
36096,1,0,0
36288,2,2,0
36480,0,1,1
36672,2,1,0
36864,2,0,2
37056,0,2,0
37248,1,1,0
37440,0,0,1
37632,0,0,2
37824,0,0,1
38016,2,1,0
38208,2,1,1
38400,2,1,0
38592,0,0,2
38784,0,2,1
38976,2,0,0
39168,2,0,2
39360,2,0,0
39552,2,0,1
39744,0,0,1
39936,1,1,2
40128,1,2,2
40320,2,2,1
40608,2,1,1
40896,1,1,2
41088,1,2,2
41328,1,0,2
41472,1,1,1
41664,2,2,1
41856,1,2,1
43296,2,2,1
43488,1,2,1
43680,2,2,1
43824,1,1,2
43968,1,1,1
44160,2,2,2
44304,1,2,2
44448,2,2,1
44592,1,2,1
44736,2,1,2
44928,2,2,1
45216,1,0,2
45360,2,0,2
45600,0,2,2
45744,0,2,1
45888,1,2,0
46032,1,1,0
46752,1,1,1
46896,2,2,1
47040,2,2,1
47232,2,1,2
47424,1,2,2
47616,1,1,2
47808,2,2,2
47952,2,1,1
48096,1,2,1
48288,2,2,2
48432,1,2,2
48576,2,2,2
48768,2,1,2
49440,1,2,2
49632,1,1,2
49824,2,2,2
49968,1,1,0
50112,1,1,2
50304,1,2,2
50832,2,1,2
51072,1,1,1
51264,1,1,2
51792,1,2,1
51936,0,0,1
52176,1,2,2
52320,0,2,0
52608,0,1,0
52752,0,2,0
52944,0,0,2
53232,1,1,1
53424,2,1,2
53616,2,1,1
53808,1,1,2
54096,0,0,2
54240,2,0,0
54384,1,1,2
54528,1,2,2
54768,1,2,0
54912,0,2,1
55056,1,1,1
55200,2,2,1
55344,2,1,2
55536,2,2,2
55920,2,0,1
56304,1,0,0
56688,2,1,2
79872,1,2,2
80064,1,1,1
80256,2,1,1
80448,1,2,1
80640,2,2,1
80832,2,1,1
81024,2,1,1
81216,1,0,0
81408,0,2,0
81792,1,2,1
81984,0,0,2
82176,1,1,2
85248,0,1,0
85440,0,2,0
85632,0,0,2
85920,0,0,2
86400,2,0,1
86592,0,2,0
86784,2,0,1
87168,2,0,1
87360,0,0,2
87552,1,1,2
87936,0,1,2
88128,0,2,0
88320,2,2,0
88704,0,0,1
88896,0,1,0
89088,1,0,0
89280,0,0,2
89472,0,1,1
89856,0,1,1
90048,0,2,0
90288,0,1,0
90624,1,2,0
91248,1,1,1
